pair_index,drug_1,drug_2,defect_class,detail
157,cefdinir,levetiracetam,hub_pair,"'levetiracetam' degree 78 (9.4% of rows): non-CYP, non-protein-bound antiepileptic; renal/hydrolytic clearance"
158,cefdinir,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
159,cefdinir,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
160,cefdinir,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
161,cefuroxime,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
162,celecoxib,levetiracetam,hub_pair,"'levetiracetam' degree 78 (9.4% of rows): non-CYP, non-protein-bound antiepileptic; renal/hydrolytic clearance"
163,celecoxib,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
164,celecoxib,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
165,cephalexin,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
166,cephalexin,heparin,hub_pair,"'heparin' degree 63 (7.6% of rows): unfractionated heparin, reticuloendothelial clearance, no CYP metabolism"
167,cephalexin,levetiracetam,hub_pair,"'levetiracetam' degree 78 (9.4% of rows): non-CYP, non-protein-bound antiepileptic; renal/hydrolytic clearance"
168,cephalexin,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
169,cephalexin,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
170,cephalexin,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
171,chlorhexidine,citalopram,implausible_coprescription,"chlorhexidine is a topical/oral-rinse antiseptic with negligible systemic absorption; a systemic pharmacokinetic interaction is precluded by route, so the negative label is uninformative"
176,chlorpheniramine,lantus,name_brand,'lantus': brand name (RxNorm BN 261551); ingredient is insulin glargine (IN 274783)
177,chlorpheniramine,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
179,chlorpheniramine,glyceryl trini.,name_truncated,"'glyceryl trini.': truncated/abbreviated form of 'glyceryl trinitrate'; fails RxNorm exact and normalized lookup; approximate match returns 'glyceryl' (RxCUI 2531034), a different chemical entity"
179,chlorpheniramine,glyceryl trini.,name_unresolvable,'glyceryl trini.': no RxNorm concept returned by exact (search=0) or normalized (search=2) lookup
187,chlorpheniramine,penicillin,name_ambiguous,"'penicillin': class/stem term, not a dispensable ingredient; does not specify penicillin G (IN 7980) vs penicillin V (IN 7984) vs benzathine/procaine salt, nor route (IV vs oral) — PK and DDI profile differ by salt/route"
187,chlorpheniramine,penicillin,name_unresolvable,'penicillin': no RxNorm concept returned by exact (search=0) or normalized (search=2) lookup
189,chlorpheniramine,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
192,chlorpheniramine,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
194,cinacalcet,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
195,cinacalcet,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
195,cinacalcet,sevelamer,same_class,both CKD-mineral-and-bone-disorder agents co-prescribed for the same indication; sevelamer alters gastrointestinal pH/binding environment
196,cinacalcet,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
197,citalopram,isosorbide,duplicate_unordered,"unordered repeat of row 14 (citalopram|isosorbide); direction reversed, no exact ordered duplicate exists"
197,citalopram,isosorbide,name_ambiguous,"'isosorbide': resolves to RxNorm IN 6057 'isosorbide', the osmotic diuretic (450 mg/mL oral solution), NOT the intended top-200 antianginal; does not distinguish isosorbide mononitrate (PIN 28004) from isosorbide dinitrate (IN 6058)"
199,citalopram,allopurinol,duplicate_unordered,"unordered repeat of row 34 (allopurinol|citalopram); direction reversed, no exact ordered duplicate exists"
200,citalopram,amoxicillin,duplicate_unordered,"unordered repeat of row 48 (amoxicillin|citalopram); direction reversed, no exact ordered duplicate exists"
201,citalopram,cefdinir,duplicate_unordered,"unordered repeat of row 153 (cefdinir|citalopram); direction reversed, no exact ordered duplicate exists"
203,citalopram,chlorhexidine,duplicate_unordered,"unordered repeat of row 171 (chlorhexidine|citalopram); direction reversed, no exact ordered duplicate exists"
203,citalopram,chlorhexidine,implausible_coprescription,"chlorhexidine is a topical/oral-rinse antiseptic with negligible systemic absorption; a systemic pharmacokinetic interaction is precluded by route, so the negative label is uninformative"
208,citalopram,conjugated estrogens,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
216,citalopram,mupirocin,implausible_coprescription,"mupirocin is a topical-only antibacterial with negligible systemic absorption; a systemic pharmacokinetic interaction is precluded by route, so the negative label is uninformative"
219,citalopram,penicillin,name_ambiguous,"'penicillin': class/stem term, not a dispensable ingredient; does not specify penicillin G (IN 7980) vs penicillin V (IN 7984) vs benzathine/procaine salt, nor route (IV vs oral) — PK and DDI profile differ by salt/route"
219,citalopram,penicillin,name_unresolvable,'penicillin': no RxNorm concept returned by exact (search=0) or normalized (search=2) lookup
222,citalopram,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
223,citalopram,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
225,clozapine,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
226,clozapine,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
227,clozapine,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
228,conjugated estrogens,isosorbide,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
228,conjugated estrogens,isosorbide,name_ambiguous,"'isosorbide': resolves to RxNorm IN 6057 'isosorbide', the osmotic diuretic (450 mg/mL oral solution), NOT the intended top-200 antianginal; does not distinguish isosorbide mononitrate (PIN 28004) from isosorbide dinitrate (IN 6058)"
229,conjugated estrogens,cefuroxime,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
230,conjugated estrogens,bisoprolol,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
231,conjugated estrogens,granisetron,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
232,conjugated estrogens,oxycodone,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
233,conjugated estrogens,zaleplon,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
234,conjugated estrogens,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
234,conjugated estrogens,dalteparin,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
235,conjugated estrogens,emtricitabine,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
236,conjugated estrogens,gabapentin,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
237,conjugated estrogens,glyceryl trini.,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
237,conjugated estrogens,glyceryl trini.,name_truncated,"'glyceryl trini.': truncated/abbreviated form of 'glyceryl trinitrate'; fails RxNorm exact and normalized lookup; approximate match returns 'glyceryl' (RxCUI 2531034), a different chemical entity"
237,conjugated estrogens,glyceryl trini.,name_unresolvable,'glyceryl trini.': no RxNorm concept returned by exact (search=0) or normalized (search=2) lookup
238,conjugated estrogens,lactulose,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
239,conjugated estrogens,levetiracetam,hub_pair,"'levetiracetam' degree 78 (9.4% of rows): non-CYP, non-protein-bound antiepileptic; renal/hydrolytic clearance"
239,conjugated estrogens,levetiracetam,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
240,conjugated estrogens,memantine,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
241,conjugated estrogens,methocarbamol,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
242,conjugated estrogens,methylphenidate,implausible_coprescription,labelled indications are age/sex-exclusive (childhood-onset ADHD vs menopausal HRT / postmenopausal osteoporosis); shared patient population is negligible
242,conjugated estrogens,methylphenidate,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
243,conjugated estrogens,metoclopramide,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
244,conjugated estrogens,moxifloxacin,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
245,conjugated estrogens,nabumetone,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
246,conjugated estrogens,nitrofurantoin,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
247,conjugated estrogens,pregabalin,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
248,conjugated estrogens,raltegravir,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
249,conjugated estrogens,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
249,conjugated estrogens,sevelamer,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
250,conjugated estrogens,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
250,conjugated estrogens,ustekinumab,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
251,conjugated estrogens,zolmitriptan,name_ambiguous,"'conjugated estrogens': multi-component botanical mixture (IN 4099, 'estrogens, conjugated (USP)'); not a single ingredient — component estrogens have distinct CYP substrate profiles"
252,dextromethorph,amoxicillin,duplicate_unordered,"unordered repeat of row 50 (amoxicillin|dextromethorph); direction reversed, no exact ordered duplicate exists"
252,dextromethorph,amoxicillin,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
253,dextromethorph,cefuroxime,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
254,dextromethorph,acyclovir,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
255,dextromethorph,alfuzosin,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
256,dextromethorph,glimepiride,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
257,dextromethorph,pemetrexed,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
258,dextromethorph,lantus,name_brand,'lantus': brand name (RxNorm BN 261551); ingredient is insulin glargine (IN 274783)
258,dextromethorph,lantus,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
259,dextromethorph,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
259,dextromethorph,dalteparin,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
260,dextromethorph,dutasteride,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
261,dextromethorph,emtricitabine,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
262,dextromethorph,entacapone,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
263,dextromethorph,glipizide,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
264,dextromethorph,glyceryl trini.,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
264,dextromethorph,glyceryl trini.,name_truncated,"'glyceryl trini.': truncated/abbreviated form of 'glyceryl trinitrate'; fails RxNorm exact and normalized lookup; approximate match returns 'glyceryl' (RxCUI 2531034), a different chemical entity"
264,dextromethorph,glyceryl trini.,name_unresolvable,'glyceryl trini.': no RxNorm concept returned by exact (search=0) or normalized (search=2) lookup
265,dextromethorph,heparin,hub_pair,"'heparin' degree 63 (7.6% of rows): unfractionated heparin, reticuloendothelial clearance, no CYP metabolism"
265,dextromethorph,heparin,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
266,dextromethorph,hydrochlorothiazide,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
267,dextromethorph,lactulose,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
268,dextromethorph,levofloxacin,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
269,dextromethorph,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
269,dextromethorph,liraglutide,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
270,dextromethorph,mupirocin,implausible_coprescription,"mupirocin is a topical-only antibacterial with negligible systemic absorption; a systemic pharmacokinetic interaction is precluded by route, so the negative label is uninformative"
270,dextromethorph,mupirocin,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
271,dextromethorph,nabumetone,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
272,dextromethorph,naproxen,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
273,dextromethorph,oseltamivir,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
274,dextromethorph,penicillin,name_ambiguous,"'penicillin': class/stem term, not a dispensable ingredient; does not specify penicillin G (IN 7980) vs penicillin V (IN 7984) vs benzathine/procaine salt, nor route (IV vs oral) — PK and DDI profile differ by salt/route"
274,dextromethorph,penicillin,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
274,dextromethorph,penicillin,name_unresolvable,'penicillin': no RxNorm concept returned by exact (search=0) or normalized (search=2) lookup
275,dextromethorph,raltegravir,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
276,dextromethorph,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
276,dextromethorph,sevelamer,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
277,dextromethorph,solifenacin,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
278,dextromethorph,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
278,dextromethorph,ustekinumab,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
279,dextromethorph,zolmitriptan,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
279,dextromethorph,zolmitriptan,same_class,"both serotonergic (dextromethorphan SERT/sigma-1, zolmitriptan 5-HT1B/1D); theoretical serotonin-syndrome additive class"
280,diazepam,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
281,diazepam,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
282,diazepam,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
283,diazepam,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
284,diclofenac,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
285,dicyclomine,citalopram,duplicate_unordered,"unordered repeat of row 209 (citalopram|dicyclomine); direction reversed, no exact ordered duplicate exists"
286,dicyclomine,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
287,dicyclomine,dextromethorph,name_truncated,"'dextromethorph': truncated form of 'dextromethorphan'; fails RxNorm exact lookup (search=0), resolves only via normalized search to 4 concepts (IN 3289 dextromethorphan + 3 PIN salts)"
288,dicyclomine,levetiracetam,hub_pair,"'levetiracetam' degree 78 (9.4% of rows): non-CYP, non-protein-bound antiepileptic; renal/hydrolytic clearance"
289,dicyclomine,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
290,dicyclomine,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
291,diphenhydramine,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
292,diphenhydramine,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
293,diphenhydramine,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
294,donepezil,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
295,donepezil,levetiracetam,hub_pair,"'levetiracetam' degree 78 (9.4% of rows): non-CYP, non-protein-bound antiepileptic; renal/hydrolytic clearance"
296,donepezil,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
297,donepezil,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
298,doxazosin,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
299,doxazosin,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
300,doxazosin,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
301,doxazosin,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
302,dutasteride,citalopram,duplicate_unordered,"unordered repeat of row 210 (citalopram|dutasteride); direction reversed, no exact ordered duplicate exists"
303,dutasteride,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
305,dutasteride,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
306,dutasteride,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
307,eletriptan,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
308,eletriptan,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
309,emtricitabine,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
310,emtricitabine,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
311,enalapril,citalopram,duplicate_unordered,"unordered repeat of row 211 (citalopram|enalapril); direction reversed, no exact ordered duplicate exists"
312,enalapril,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
313,enalapril,sevelamer,hub_pair,"'sevelamer' degree 152 (18.4% of rows): non-absorbed polymeric phosphate binder; negligible systemic exposure, so absence of a reported interaction is a property of the molecule, not evidence about the pair"
314,enalapril,ustekinumab,hub_pair,"'ustekinumab' degree 140 (16.9% of rows): IgG1k monoclonal antibody; cleared by proteolytic catabolism, no CYP/transporter involvement, so absence of a reported interaction is structurally predetermined"
315,entacapone,dalteparin,hub_pair,"'dalteparin' degree 82 (9.9% of rows): LMWH, renally cleared, no CYP metabolism"
316,entacapone,liraglutide,hub_pair,"'liraglutide' degree 72 (8.7% of rows): GLP-1 peptide, endopeptidase-degraded, no CYP involvement"
